MERC,XOM,BHP,ORCL,WMT,PEP,V,LVS,CI,COP,URI,TMUS,MRO,SLB,AVGO,CHV,MMM,MSFT,META,BOE
$11.78 ,$109.21 ,$63.33 ,$84.31 ,$143.27 ,$177.10 ,$211.11 ,$51.53 ,$304.19 ,$116.77 ,$364.09 ,$144.48 ,$25.87 ,$52.67 ,$555.02 ,$175.24 ,$122.96 ,$222.31 ,$126.94 ,$204.99 
$11.87 ,$106.82 ,$62.77 ,$84.48 ,$143.76 ,$178.97 ,$212.61 ,$51.89 ,$310.30 ,$113.34 ,$366.01 ,$139.96 ,$25.32 ,$51.70 ,$560.24 ,$172.14 ,$125.15 ,$229.10 ,$127.37 ,$203.64 
$11.60 ,$106.51 ,$61.40 ,$83.72 ,$143.60 ,$179.41 ,$207.39 ,$49.33 ,$321.48 ,$113.12 ,$356.71 ,$139.04 ,$25.64 ,$51.50 ,$553.48 ,$173.99 ,$122.47 ,$239.58 ,$124.74 ,$195.39 
$11.64 ,$110.30 ,$62.05 ,$81.74 ,$141.79 ,$180.66 ,$207.76 ,$48.07 ,$331.34 ,$118 ,$355.42 ,$140 ,$27.07 ,$53.46 ,$559.13 ,$179.49 ,$119.92 ,$239.82 ,$120.34 ,$190.49 
$11.51 ,$109.20 ,$62.24 ,$81.40 ,$142.15 ,$181.98 ,$208.06 ,$47.08 ,$330.72 ,$116.39 ,$356.21 ,$139.40 ,$26.78 ,$52.91 ,$557.81 ,$178.32 ,$120.57 ,$241.01 ,$120.26 ,$188.91 
$11.54 ,$108.38 ,$61.74 ,$80.33 ,$141.29 ,$181.75 ,$204.99 ,$46.18 ,$331.85 ,$115.31 ,$351.88 ,$138.98 ,$26.58 ,$52.60 ,$544.89 ,$176.98 ,$118.29 ,$234.53 ,$115.62 ,$188.38 
$11.80 ,$110.19 ,$62.74 ,$80.98 ,$143.81 ,$183.07 ,$206.29 ,$48.46 ,$334.10 ,$118.47 ,$358.68 ,$140.99 ,$27.65 ,$53.50 ,$553.54 ,$179.63 ,$120.22 ,$236.96 ,$116.88 ,$189.40 
$11.79 ,$108.68 ,$62.05 ,$80.85 ,$143.77 ,$182.26 ,$205.83 ,$46.52 ,$334.31 ,$117.05 ,$355.22 ,$140.02 ,$27.44 ,$52.99 ,$552.43 ,$177.40 ,$120.14 ,$238.73 ,$118.04 ,$189.06 
$11.67 ,$105.88 ,$61.41 ,$80.49 ,$143.48 ,$181.09 ,$205.06 ,$46.52 ,$333.28 ,$112.90 ,$350.88 ,$139.53 ,$26.70 ,$51.39 ,$553.09 ,$172.08 ,$121.59 ,$238.19 ,$117.12 ,$188.25 
$11.95 ,$108.06 ,$62.66 ,$81.50 ,$145.18 ,$182.50 ,$206.81 ,$46.89 ,$333.16 ,$116.28 ,$359.83 ,$141.47 ,$27.74 ,$53.31 ,$561.23 ,$174.70 ,$123.46 ,$244.43 ,$119.76 ,$196 
$11.93 ,$106.69 ,$61.54 ,$80.94 ,$144.05 ,$181.23 ,$205.36 ,$46.38 ,$329.54 ,$112.65 ,$350.61 ,$140.34 ,$27.15 ,$51.76 ,$544.02 ,$172.67 ,$120.81 ,$241.80 ,$117.09 ,$188.29 
$11.84 ,$105.17 ,$60.82 ,$80.50 ,$142.80 ,$181.34 ,$204.82 ,$46.36 ,$330.78 ,$110.44 ,$351.25 ,$141.62 ,$27.03 ,$49.83 ,$549.63 ,$169.88 ,$122.13 ,$240.45 ,$114.48 ,$185.68 
$12.02 ,$104.70 ,$61.18 ,$79.58 ,$142.75 ,$180.34 ,$206.89 ,$47.49 ,$327.29 ,$110.44 ,$353.51 ,$142.36 ,$27.33 ,$49.38 ,$555.91 ,$168.72 ,$121.69 ,$244.69 ,$119.43 ,$184.70 
$11.81 ,$105.44 ,$61.67 ,$80.07 ,$145.36 ,$180.25 ,$207.91 ,$48.65 ,$331.45 ,$112.55 ,$357.43 ,$140.20 ,$27.86 ,$50.11 ,$558 ,$171.04 ,$122.38 ,$249.01 ,$116.15 ,$183.72 
$12.36 ,$106.46 ,$62.41 ,$81.82 ,$146.67 ,$183.36 ,$213.32 ,$48.75 ,$334.68 ,$112.87 ,$368.14 ,$142.36 ,$27.47 ,$50.43 ,$574.44 ,$172.33 ,$126.09 ,$257.22 ,$121.59 ,$188.25 
$12.29 ,$107.25 ,$63.36 ,$80.56 ,$147.49 ,$183.87 ,$213.04 ,$48.67 ,$330.25 ,$113.41 ,$367.02 ,$140.58 ,$27.68 ,$51.05 ,$571.04 ,$173.53 ,$127.29 ,$256.92 ,$120.15 ,$187.13 
$12.33 ,$106.09 ,$63.09 ,$81.28 ,$148.02 ,$183.97 ,$214.59 ,$48.36 ,$339.30 ,$111.78 ,$360.45 ,$142.40 ,$27.18 ,$49.10 ,$556.63 ,$169.75 ,$126.85 ,$252.51 ,$114.71 ,$186.27 
