MERC,XOM,BHP,ORCL,WMT,PEP,V,LVS,CI,COP,URI,TMUS,MRO,SLB,AVGO,CHV,MMM,MSFT,META,BOE
$12.38 ,$90.57 ,$51.21 ,$66.03 ,$133.39 ,$168.60 ,$185.79 ,$35.29 ,$282.90 ,$110.06 ,$273.27 ,$135.05 ,$24.59 ,$38.23 ,$477.61 ,$154.89 ,$114.14 ,$240.98 ,$142.82 ,$138.71 
$12.38 ,$90.95 ,$50.01 ,$66.75 ,$134.77 ,$168.44 ,$187.02 ,$36.62 ,$284.95 ,$111.09 ,$282.87 ,$136.77 ,$25.18 ,$37.58 ,$482.14 ,$155.01 ,$114.81 ,$238.95 ,$142.12 ,$143.29 
$12.66 ,$92.44 ,$51.45 ,$68.11 ,$133.55 ,$168.92 ,$192.07 ,$39.28 ,$288.08 ,$112.07 ,$289.76 ,$139.64 ,$25.76 ,$38.50 ,$493.06 ,$156.28 ,$116.52 ,$242.45 ,$146.09 ,$145.94 
$13.34 ,$93.20 ,$51.89 ,$69.07 ,$134.33 ,$168.73 ,$193.13 ,$38.82 ,$289.32 ,$112.87 ,$295.42 ,$140.71 ,$25.93 ,$38.97 ,$501.84 ,$156.90 ,$116.64 ,$244.52 ,$148.02 ,$144.88 
$13.45 ,$93.21 ,$50.95 ,$68.83 ,$133.19 ,$166.97 ,$193.30 ,$38.64 ,$290.35 ,$113.13 ,$286.04 ,$139.95 ,$26.22 ,$38.37 ,$502.50 ,$156.45 ,$116.61 ,$244.74 ,$146.29 ,$144.29 
$13.31 ,$94.83 ,$51.68 ,$70.24 ,$133.47 ,$165.88 ,$195.37 ,$39.69 ,$289.96 ,$115.56 ,$288.71 ,$141.02 ,$26.80 ,$39.63 ,$500.14 ,$160.62 ,$116.42 ,$245.38 ,$149.55 ,$149.78 
$13.64 ,$97.67 ,$52.02 ,$72.12 ,$134.92 ,$168.68 ,$199.41 ,$38.15 ,$284.08 ,$117.71 ,$290 ,$141.93 ,$27.36 ,$40.24 ,$510.75 ,$163.27 ,$117.53 ,$252.22 ,$151.47 ,$149.26 
$13.73 ,$95.33 ,$52.18 ,$76.04 ,$135.22 ,$167.41 ,$199.67 ,$37.84 ,$286.82 ,$112.33 ,$294.67 ,$137.74 ,$26.49 ,$38.47 ,$503.65 ,$159.41 ,$120.47 ,$251.99 ,$153.13 ,$147.31 
$14.47 ,$97.61 ,$54.54 ,$77.08 ,$138.07 ,$173.90 ,$206.63 ,$38.75 ,$294.15 ,$114.39 ,$313.40 ,$145.15 ,$27.20 ,$40.15 ,$529.06 ,$162.50 ,$124.25 ,$266.65 ,$168.96 ,$158.72 
$14.26 ,$96.50 ,$53.34 ,$75.91 ,$136.84 ,$173.22 ,$205.20 ,$38.17 ,$292.84 ,$111.97 ,$311.14 ,$145.70 ,$26.35 ,$39.65 ,$522.40 ,$159.97 ,$123.10 ,$264.46 ,$169.15 ,$157.52 
$14.07 ,$94.91 ,$50.39 ,$74.65 ,$136.43 ,$172.67 ,$200.71 ,$37.65 ,$290.71 ,$108.32 ,$304.93 ,$145.37 ,$25.61 ,$38.17 ,$511.93 ,$155.95 ,$119.27 ,$258.52 ,$162.06 ,$157.79 
$16.07 ,$94.14 ,$49 ,$74.49 ,$135.74 ,$173.25 ,$200.42 ,$36.40 ,$290 ,$106.76 ,$297.11 ,$145.50 ,$24.92 ,$37.06 ,$505.13 ,$155.11 ,$120.55 ,$258.09 ,$160.39 ,$155.95 
$16.34 ,$94.95 ,$49.85 ,$73.83 ,$132.34 ,$169.51 ,$198.64 ,$35.45 ,$285.25 ,$108.63 ,$292.08 ,$141.91 ,$25.52 ,$37.36 ,$498.20 ,$157.12 ,$116.60 ,$253.25 ,$158.54 ,$152.39 
$16.14 ,$95.59 ,$50.21 ,$74.68 ,$133 ,$170.66 ,$197.76 ,$36.21 ,$287.70 ,$110.26 ,$289.71 ,$141.98 ,$25.71 ,$38.07 ,$500.22 ,$157.85 ,$121.65 ,$256.06 ,$160.32 ,$151.82 
$16.45 ,$93.87 ,$49.88 ,$75.30 ,$134.48 ,$172.85 ,$200.13 ,$36.70 ,$288.04 ,$107.53 ,$288.69 ,$143.92 ,$24.92 ,$36.85 ,$492.01 ,$155.54 ,$125.63 ,$260.40 ,$165.36 ,$153.66 
$16.22 ,$95.59 ,$54.89 ,$74.15 ,$132.55 ,$172.27 ,$198.71 ,$37.63 ,$283.45 ,$109.45 ,$292.04 ,$143.96 ,$25.59 ,$38.15 ,$499.11 ,$158.06 ,$124.35 ,$261.47 ,$162.93 ,$160.25 
$15.81 ,$96.31 ,$55.40 ,$74.14 ,$132.48 ,$172.99 ,$201.38 ,$36.65 ,$285.07 ,$110.50 ,$292.92 ,$145.52 ,$25.58 ,$38.68 ,$506.39 ,$160.62 ,$124.86 ,$262.97 ,$157.16 ,$162.21 
$15.86 ,$100.12 ,$57.86 ,$74.19 ,$132.88 ,$174.49 ,$202.33 ,$37.89 ,$287.19 ,$113.42 ,$301.23 ,$144.89 ,$26.79 ,$40.38 ,$514.18 ,$164.63 ,$126.44 ,$265.23 ,$159.17 ,$165.42 
$16.25 ,$97.87 ,$58.88 ,$74.65 ,$131.60 ,$175.04 ,$202.89 ,$37.93 ,$284.87 ,$112.12 ,$306.42 ,$143.02 ,$26.16 ,$39.42 ,$520.86 ,$163.41 ,$129.14 ,$268.09 ,$161.78 ,$164.53 
$16.68 ,$99.09 ,$59.93 ,$76.89 ,$135.87 ,$179.27 ,$209.82 ,$39.07 ,$291.85 ,$112.08 ,$319.57 ,$147.07 ,$26.37 ,$40.17 ,$550.13 ,$164.62 ,$142.76 ,$278.85 ,$168.78 ,$169.38 
$16.04 ,$98.58 ,$58.15 ,$76.17 ,$134.97 ,$179.26 ,$206.67 ,$37.87 ,$288.76 ,$110.52 ,$308 ,$145.33 ,$26.29 ,$39.91 ,$530.84 ,$163.19 ,$141.04 ,$275.79 ,$163.26 ,$163.60 
$15.90 ,$98 ,$58.79 ,$76.41 ,$134 ,$178.37 ,$206.80 ,$36.88 ,$286.33 ,$108.45 ,$307.01 ,$143.86 ,$25.71 ,$39.36 ,$529.78 ,$161.99 ,$141.75 ,$276.44 ,$161.11 ,$160.07 
$15.68 ,$94.01 ,$57.31 ,$76.46 ,$134.57 ,$178.45 ,$208.61 ,$36.60 ,$291.50 ,$105.24 ,$307.55 ,$144.58 ,$24.65 ,$36.92 ,$528.75 ,$156.90 ,$141.59 ,$277.75 ,$163.05 ,$158.98 
$16.70 ,$94.08 ,$56.75 ,$78.66 ,$137.02 ,$180.17 ,$212.82 ,$37.63 ,$292.98 ,$105.14 ,$316.69 ,$146.37 ,$24.46 ,$37.12 ,$548.43 ,$157.69 ,$145.20 ,$286.15 ,$167.96 ,$162.92 
$16.86 ,$94.38 ,$57.13 ,$79.32 ,$139.07 ,$180.40 ,$215.25 ,$37.72 ,$290.89 ,$104.88 ,$323.23 ,$146.86 ,$24.60 ,$37.13 ,$558.45 ,$159.02 ,$146.68 ,$290.17 ,$174.66 ,$168.69 
$16.77 ,$92.20 ,$56.55 ,$79.25 ,$139.52 ,$180.22 ,$214.52 ,$37.45 ,$291.60 ,$101.36 ,$331.38 ,$145.55 ,$23.41 ,$35.40 ,$538.59 ,$157.70 ,$147.43 ,$291.32 ,$174.85 ,$167.20 
$17.05 ,$91.46 ,$57.97 ,$79.52 ,$139.37 ,$180.32 ,$217.14 ,$38.28 ,$290.61 ,$100.10 ,$339.31 ,$146.63 ,$23.05 ,$35.58 ,$551.65 ,$156.41 ,$150.26 ,$292.71 ,$179.47 ,$172.08 
$16.68 ,$92.32 ,$54.74 ,$79.11 ,$132.60 ,$179.28 ,$216.42 ,$38.69 ,$290.87 ,$100.77 ,$337.52 ,$146.69 ,$23.39 ,$35.76 ,$558.96 ,$156.81 ,$151.43 ,$293.47 ,$180.89 ,$170.47 
$17.29 ,$94 ,$55.76 ,$79.15 ,$132.22 ,$177.33 ,$211.33 ,$38.67 ,$290.92 ,$102.75 ,$336.55 ,$146.46 ,$24.06 ,$37.14 ,$558.23 ,$159.85 ,$152.24 ,$291.91 ,$180.50 ,$169.99 
$16.26 ,$93.19 ,$55.35 ,$77.16 ,$129.82 ,$175.04 ,$211.08 ,$37.69 ,$286 ,$100.36 ,$332.22 ,$143.61 ,$23.91 ,$36.89 ,$545.43 ,$159.62 ,$149.66 ,$287.02 ,$177.49 ,$167.88 
$15.93 ,$91.45 ,$54.93 ,$77.54 ,$129.14 ,$175.94 ,$212.10 ,$36.65 ,$287.07 ,$95.98 ,$327.95 ,$144.84 ,$22.34 ,$34.92 ,$550.41 ,$155.82 ,$149.38 ,$289.16 ,$178.34 ,$169.02 
$15.46 ,$90.59 ,$53.90 ,$76.77 ,$128.87 ,$174.50 ,$210.26 ,$36.90 ,$285.04 ,$95.51 ,$319.89 ,$145.58 ,$21.96 ,$34.99 ,$532.80 ,$155.41 ,$147.84 ,$282.30 ,$168.53 ,$164.85 
$15.27 ,$88.95 ,$54.38 ,$76.47 ,$127.61 ,$173.85 ,$213.32 ,$37.19 ,$281.77 ,$93.63 ,$322.14 ,$144.58 ,$21.83 ,$34.65 ,$545.53 ,$153.41 ,$148.48 ,$280.32 ,$170.25 ,$165.89 
$15.11 ,$88.45 ,$54.40 ,$77.35 ,$126.58 ,$174.55 ,$215.87 ,$38.37 ,$281.77 ,$92.85 ,$323.43 ,$144.56 ,$21.77 ,$34.66 ,$551.44 ,$153.64 ,$147.41 ,$282.91 ,$167.11 ,$165.04 
$14.97 ,$87.19 ,$53.13 ,$77.40 ,$125.57 ,$175.87 ,$213.47 ,$39.30 ,$280.10 ,$89.88 ,$319.21 ,$143.79 ,$21.47 ,$33.95 ,$552.80 ,$151.14 ,$148.12 ,$283.65 ,$170.57 ,$166.50 
$14.90 ,$91.02 ,$53.25 ,$77.37 ,$130.50 ,$176.83 ,$208.48 ,$38.96 ,$271.74 ,$91.32 ,$317.60 ,$143.70 ,$22.89 ,$35.54 ,$546.74 ,$155.36 ,$143.49 ,$282.47 ,$168.80 ,$166.64 
$15.10 ,$94.07 ,$53.02 ,$76.35 ,$132.68 ,$175.49 ,$206.26 ,$38.15 ,$271.44 ,$94.71 ,$314.10 ,$142.35 ,$23.88 ,$36.69 ,$531.21 ,$159.14 ,$141.75 ,$274.82 ,$160.19 ,$163.28 
$16.15 ,$94.48 ,$54.19 ,$77.44 ,$132.54 ,$176.95 ,$211.36 ,$37.77 ,$273.41 ,$95.10 ,$319.68 ,$143.79 ,$23.99 ,$36.40 ,$536.37 ,$160.51 ,$143.36 ,$278.01 ,$159.93 ,$169.07 
$15.96 ,$96.93 ,$55.04 ,$77.84 ,$132.05 ,$174.96 ,$212.11 ,$37.69 ,$275.36 ,$97.43 ,$322.67 ,$143.06 ,$24.80 ,$37.03 ,$535.48 ,$163.78 ,$143.24 ,$280.74 ,$159.10 ,$159.31 
$16.14 ,$92.64 ,$54.02 ,$77.04 ,$129.75 ,$174.84 ,$211.35 ,$38.52 ,$273.22 ,$94.06 ,$304.83 ,$141.70 ,$23.95 ,$35.71 ,$533.61 ,$150.39 ,$140.37 ,$276.41 ,$160.72 ,$159.09 
$15.96 ,$91.57 ,$53.44 ,$75.87 ,$126.59 ,$171.59 ,$210.47 ,$38.97 ,$274.73 ,$93.27 ,$287.23 ,$140.91 ,$23.88 ,$36.33 ,$527.79 ,$149.26 ,$138.86 ,$268.74 ,$169.58 ,$156.09 
$16.19 ,$89.63 ,$52.72 ,$74.03 ,$121.98 ,$171.83 ,$212.49 ,$38.22 ,$274.83 ,$91.09 ,$276.21 ,$133.91 ,$22.91 ,$35.60 ,$511.09 ,$147.32 ,$140.75 ,$251.90 ,$159.15 ,$155.92 
$16.21 ,$89.98 ,$52.82 ,$74.86 ,$132.02 ,$169.85 ,$214.27 ,$38.85 ,$272.63 ,$92.05 ,$277.83 ,$134.56 ,$23.18 ,$36.17 ,$513.11 ,$148.48 ,$134.12 ,$258.83 ,$166.65 ,$156.64 
$15.19 ,$87.08 ,$51.09 ,$74.90 ,$132.21 ,$169.61 ,$213.70 ,$38.99 ,$269.20 ,$88.13 ,$274.29 ,$132.48 ,$21.75 ,$35.07 ,$512.52 ,$144.19 ,$134.12 ,$260.36 ,$169.27 ,$158.16 
$15.44 ,$87.75 ,$50.76 ,$74.54 ,$132.55 ,$168.51 ,$216.19 ,$39.52 ,$266.35 ,$88.93 ,$279.79 ,$133.19 ,$22.16 ,$33.63 ,$517.68 ,$145.40 ,$133.95 ,$264.84 ,$183.17 ,$161.41 
$15.73 ,$89.24 ,$50.86 ,$72.59 ,$130.64 ,$168.26 ,$213.37 ,$37.08 ,$266.72 ,$90.71 ,$275.64 ,$137.45 ,$22.92 ,$34.14 ,$511.77 ,$146.52 ,$133.01 ,$262.27 ,$183.09 ,$158.38 
$14.57 ,$88.27 ,$50.87 ,$72.24 ,$129.56 ,$170.06 ,$213.66 ,$35.53 ,$274.60 ,$88.48 ,$270.51 ,$137.52 ,$22.52 ,$34.22 ,$509 ,$144.61 ,$132.13 ,$259.53 ,$175.78 ,$156.13 
$14 ,$86.10 ,$50.67 ,$70.21 ,$128.77 ,$168.26 ,$207.21 ,$34.65 ,$268.35 ,$85.07 ,$257.05 ,$134.47 ,$21.57 ,$33.13 ,$491.06 ,$139.58 ,$128.91 ,$254.25 ,$167.23 ,$147.72 
$13.93 ,$84.54 ,$49.27 ,$70.74 ,$129.07 ,$171.12 ,$210.04 ,$34.53 ,$274.11 ,$82.89 ,$251.84 ,$137.37 ,$20.85 ,$32.30 ,$494.46 ,$137.65 ,$130.13 ,$256.72 ,$164.70 ,$147.74 
$13.74 ,$83.14 ,$48.24 ,$69.45 ,$127.82 ,$170.98 ,$205.91 ,$34.25 ,$264.91 ,$81.61 ,$248.53 ,$135.66 ,$20.41 ,$31.33 ,$484.64 ,$135.94 ,$128.31 ,$254.08 ,$158.05 ,$147.15 
$13.90 ,$84.84 ,$50.29 ,$70.03 ,$125.37 ,$170.10 ,$204.15 ,$33.23 ,$273.75 ,$83.11 ,$251.05 ,$134.92 ,$20.74 ,$32.29 ,$481.73 ,$137.99 ,$128.37 ,$252.72 ,$163.49 ,$143.95 
$13.83 ,$84.50 ,$50.19 ,$70.41 ,$125.07 ,$169.50 ,$204.82 ,$33.25 ,$279.35 ,$83.45 ,$250.98 ,$134.44 ,$20.66 ,$32.73 ,$481.37 ,$138.92 ,$130.20 ,$253.67 ,$163.27 ,$147.15 
$13.86 ,$85.64 ,$51.12 ,$71.57 ,$125.45 ,$170.47 ,$205.06 ,$32.21 ,$279.91 ,$85.55 ,$249.33 ,$134.73 ,$21.32 ,$33.37 ,$482.86 ,$141.51 ,$129.01 ,$264.51 ,$162.88 ,$136.99 
$14.06 ,$86.08 ,$52.99 ,$71.87 ,$125.40 ,$171.88 ,$203.57 ,$34.38 ,$279.19 ,$86.46 ,$248.86 ,$135.72 ,$21.72 ,$34.32 ,$498.69 ,$142.77 ,$128.72 ,$267.66 ,$170.88 ,$139.07 
$13.99 ,$85.94 ,$54.14 ,$71.83 ,$125.32 ,$170.36 ,$202.80 ,$35.33 ,$275.78 ,$86.35 ,$251.09 ,$136.33 ,$21.83 ,$34.38 ,$498.54 ,$143.52 ,$130.05 ,$268.40 ,$172.19 ,$139.97 
$13.86 ,$83.28 ,$52.50 ,$71.66 ,$125.13 ,$170.70 ,$201.12 ,$34.70 ,$271.09 ,$83.34 ,$241.58 ,$137 ,$20.68 ,$32.73 ,$482.61 ,$140.78 ,$129.84 ,$266.21 ,$169.77 ,$136.31 
$12.39 ,$84.81 ,$52.94 ,$71.99 ,$124.25 ,$169.01 ,$200.54 ,$34.76 ,$264.84 ,$84.64 ,$244.99 ,$137.56 ,$21.13 ,$33.33 ,$476.30 ,$142.66 ,$129.21 ,$262.85 ,$168.19 ,$137.70 
$13.30 ,$87.55 ,$54.13 ,$70.87 ,$122.63 ,$169.39 ,$199.18 ,$35.28 ,$268.03 ,$90.98 ,$244.36 ,$136.81 ,$22.55 ,$35.65 ,$477.84 ,$146.51 ,$128.49 ,$259.58 ,$160.03 ,$139.84 
$13.15 ,$85.64 ,$56.18 ,$69.87 ,$121.58 ,$166.66 ,$196.89 ,$33.59 ,$263.52 ,$89.81 ,$242.91 ,$134.54 ,$22.48 ,$35.76 ,$485.81 ,$144.78 ,$129.41 ,$256.83 ,$161.25 ,$136.72 
$12.97 ,$88.12 ,$58.19 ,$69.21 ,$121.92 ,$166.73 ,$199.50 ,$33.61 ,$267.34 ,$91.46 ,$241.07 ,$134.37 ,$22.79 ,$36.18 ,$490.41 ,$146.98 ,$129.77 ,$260.26 ,$163.94 ,$138.45 
$13.11 ,$91.50 ,$58.19 ,$68.58 ,$122.37 ,$164.01 ,$198.12 ,$34.51 ,$266.21 ,$95.22 ,$247.99 ,$133.03 ,$24.13 ,$36.97 ,$498.45 ,$149.94 ,$130.33 ,$256.48 ,$160.68 ,$138.70 
$13.13 ,$89.03 ,$57.68 ,$70.41 ,$124.12 ,$166.35 ,$203.56 ,$33.17 ,$267.88 ,$92.23 ,$251.99 ,$136.54 ,$23.12 ,$35.89 ,$505.71 ,$147.57 ,$132.80 ,$264.89 ,$169.49 ,$138.72 
$12.97 ,$86.90 ,$56.32 ,$70.70 ,$123.72 ,$166.13 ,$205.51 ,$33.43 ,$265.13 ,$90.91 ,$248.29 ,$137.08 ,$22.05 ,$35.06 ,$509.09 ,$144.77 ,$134.33 ,$267.70 ,$170.16 ,$141.53 
$12.83 ,$85.21 ,$54.75 ,$67.63 ,$123.62 ,$164.10 ,$196.64 ,$31.58 ,$259.68 ,$87.89 ,$235.84 ,$135.94 ,$22.02 ,$34.98 ,$496.58 ,$142.43 ,$130.15 ,$258.86 ,$158.75 ,$133.97 
$13.37 ,$87.86 ,$55.61 ,$66.53 ,$120.69 ,$162.03 ,$193.82 ,$31.60 ,$255.90 ,$93.06 ,$241.35 ,$133.17 ,$23.10 ,$37.52 ,$496.10 ,$147.87 ,$130.40 ,$253.13 ,$155.85 ,$137.16 
$13.63 ,$91.48 ,$57.72 ,$67.68 ,$122.17 ,$160.71 ,$194.39 ,$31.71 ,$252.18 ,$99.28 ,$242.08 ,$131.67 ,$24.90 ,$38.82 ,$503.77 ,$154.59 ,$130.01 ,$253.74 ,$157.05 ,$136.75 
$13.34 ,$86.12 ,$57.76 ,$67.72 ,$118.29 ,$157.06 ,$190.01 ,$31.67 ,$244.52 ,$93.74 ,$239.69 ,$127.59 ,$24.15 ,$36.64 ,$498.65 ,$148.38 ,$129.84 ,$247.65 ,$163.74 ,$136.80 
$13.43 ,$91.39 ,$60.21 ,$68.71 ,$120.62 ,$157.03 ,$189.05 ,$30.87 ,$248.30 ,$102.42 ,$245.54 ,$124.28 ,$25.66 ,$38.48 ,$497.18 ,$155.48 ,$130.94 ,$244.97 ,$160.87 ,$133.36 
$14.17 ,$94.89 ,$61.95 ,$69.70 ,$119.38 ,$157.79 ,$196.16 ,$32.64 ,$247.10 ,$109.33 ,$265.96 ,$126.52 ,$28.07 ,$41.52 ,$526.71 ,$164.26 ,$134.33 ,$251.76 ,$169.35 ,$133.72 
$14.02 ,$96.10 ,$59.97 ,$70.72 ,$119.46 ,$156.12 ,$193.52 ,$32.27 ,$245.71 ,$111.49 ,$260.12 ,$124.90 ,$28.79 ,$43.22 ,$520.17 ,$167.55 ,$135.25 ,$244.49 ,$163.73 ,$122.16 
$14.11 ,$95.85 ,$60.81 ,$64.05 ,$119.41 ,$159.74 ,$192.26 ,$30.60 ,$242.23 ,$111.76 ,$265.06 ,$124.62 ,$28.39 ,$44.32 ,$517.62 ,$167.33 ,$136.37 ,$242.26 ,$164.26 ,$115.86 
$14.65 ,$100.46 ,$63.48 ,$67.14 ,$121.70 ,$162.52 ,$199.51 ,$33.50 ,$253.29 ,$116.83 ,$280.22 ,$130.51 ,$30.29 ,$47.21 ,$541.27 ,$175.40 ,$137.65 ,$252.99 ,$175.57 ,$127 
$15.94 ,$102.33 ,$65.28 ,$69.22 ,$121.02 ,$162.78 ,$206.11 ,$35.29 ,$257.58 ,$118.56 ,$298.40 ,$133.02 ,$31.25 ,$48.14 ,$556.22 ,$177.52 ,$144.18 ,$264.79 ,$184 ,$133.73 
$16.44 ,$104.59 ,$67.59 ,$71.38 ,$122.30 ,$165.73 ,$213.50 ,$37.39 ,$260.78 ,$121.86 ,$305.19 ,$135.21 ,$31.93 ,$49.57 ,$565.36 ,$181.13 ,$145.42 ,$270.41 ,$196.64 ,$139.63 
$16.09 ,$103.37 ,$69.21 ,$72.69 ,$123.37 ,$166.56 ,$214.50 ,$35.83 ,$262.28 ,$122.71 ,$312.68 ,$138.59 ,$32.17 ,$48.93 ,$572.99 ,$180.20 ,$146.87 ,$272.50 ,$195.65 ,$140.82 
$15.85 ,$98.84 ,$66.78 ,$72.97 ,$124.87 ,$165.54 ,$212.94 ,$35.50 ,$258.32 ,$117.38 ,$307.27 ,$137.17 ,$31.41 ,$47.22 ,$561.23 ,$176.83 ,$146.21 ,$268.75 ,$194.25 ,$139.24 
$15.09 ,$99.09 ,$67.10 ,$71.79 ,$125.32 ,$164.85 ,$212.65 ,$34.96 ,$253.97 ,$118.12 ,$301.25 ,$136.61 ,$31.68 ,$47.47 ,$563.32 ,$177.60 ,$145.97 ,$270.02 ,$190.78 ,$139.25 
$14.88 ,$97.67 ,$67.44 ,$73.14 ,$127.51 ,$166.68 ,$215.05 ,$35.53 ,$263.43 ,$114.96 ,$299.70 ,$135.80 ,$31.20 ,$46.30 ,$576.74 ,$176 ,$148.18 ,$274.58 ,$198.86 ,$140.50 
$14.67 ,$97.84 ,$66.40 ,$71.60 ,$125.45 ,$166.49 ,$209.93 ,$35.16 ,$264.58 ,$115.75 ,$293.50 ,$134.56 ,$31.38 ,$46.68 ,$573.62 ,$176.32 ,$146.42 ,$272.42 ,$188.64 ,$130.65 
$14.77 ,$96 ,$65.53 ,$71.92 ,$128.63 ,$167.75 ,$212.17 ,$35.46 ,$268.29 ,$112.36 ,$298.18 ,$133.29 ,$31.43 ,$45.96 ,$580.13 ,$174.66 ,$149.29 ,$271.87 ,$193.64 ,$131.40 
$14.93 ,$97.59 ,$65.86 ,$72.78 ,$128.48 ,$171.77 ,$212.88 ,$34.62 ,$272.40 ,$114.60 ,$297.46 ,$134.11 ,$31.07 ,$48.21 ,$583.28 ,$178.28 ,$149.51 ,$273.24 ,$195.13 ,$132.23 
$14.74 ,$96.64 ,$63.44 ,$71.66 ,$126 ,$170.11 ,$208.55 ,$34.17 ,$268.88 ,$113.15 ,$284.84 ,$132.74 ,$29.75 ,$46.69 ,$550.66 ,$176.59 ,$147.04 ,$265.90 ,$191.63 ,$127.73 
$14.25 ,$96.30 ,$63.70 ,$69.83 ,$123.37 ,$168.97 ,$203.84 ,$32.07 ,$265.75 ,$111.20 ,$275.82 ,$131.44 ,$29.01 ,$45.05 ,$531.63 ,$175.41 ,$145.79 ,$262.52 ,$183.83 ,$122.06 
$13.98 ,$94.40 ,$64.00 ,$69.03 ,$124.13 ,$167.82 ,$202.63 ,$30.98 ,$264.96 ,$109.48 ,$267.74 ,$129.22 ,$28.08 ,$43.90 ,$524.20 ,$172.64 ,$145.75 ,$259.62 ,$181.28 ,$119.40 
$14.40 ,$93.89 ,$63.71 ,$70.04 ,$122.60 ,$165.60 ,$207.56 ,$32.99 ,$263.37 ,$109.02 ,$274.15 ,$129.89 ,$28.13 ,$43.81 ,$526.36 ,$171.72 ,$144.38 ,$260.65 ,$196.23 ,$124.07 
$14.24 ,$91.86 ,$62.43 ,$68.63 ,$119.20 ,$162.21 ,$199.03 ,$33.46 ,$259.49 ,$105.02 ,$269.92 ,$126.04 ,$27.26 ,$41.12 ,$543.19 ,$167.82 ,$143.83 ,$252.56 ,$193.54 ,$120.70 
$14.87 ,$91.14 ,$61.09 ,$67.04 ,$119.07 ,$161.20 ,$197.37 ,$33.26 ,$256.88 ,$104.61 ,$272.61 ,$125.88 ,$26.88 ,$40.85 ,$546.21 ,$166.86 ,$146.96 ,$253.14 ,$191.29 ,$127.14 
$14.95 ,$90.65 ,$59.19 ,$68.30 ,$122.43 ,$163.65 ,$199.99 ,$33.82 ,$257.57 ,$104.48 ,$273.40 ,$125.24 ,$26.77 ,$41.13 ,$570.57 ,$168.06 ,$148.93 ,$254.08 ,$192.24 ,$125.52 
$15.48 ,$92.11 ,$60.79 ,$71.88 ,$131.35 ,$174.46 ,$204 ,$34.69 ,$271.35 ,$107.02 ,$290.46 ,$128.62 ,$28.36 ,$42.95 ,$608.15 ,$174.03 ,$152.34 ,$266.82 ,$202.62 ,$132.05 
$15.08 ,$90.95 ,$58.86 ,$69.71 ,$148.21 ,$175.47 ,$197.81 ,$33.37 ,$266.49 ,$105.50 ,$282.93 ,$126.55 ,$27.98 ,$42.14 ,$582.67 ,$173.01 ,$150.50 ,$261.50 ,$200.04 ,$124.05 
$14.85 ,$88.86 ,$58.93 ,$71.17 ,$148.05 ,$173.72 ,$199.23 ,$34.68 ,$259.19 ,$102.91 ,$288.44 ,$126.33 ,$27 ,$40.74 ,$588.24 ,$167.87 ,$149.30 ,$261.12 ,$198.62 ,$127.20 
$14.71 ,$86.30 ,$57.48 ,$70.73 ,$147.48 ,$170.40 ,$193.97 ,$30.14 ,$260.03 ,$99.60 ,$283.02 ,$124.03 ,$25.13 ,$39.03 ,$571.57 ,$164.71 ,$149.59 ,$255.35 ,$191.24 ,$123.14 
$14.86 ,$86.79 ,$58.21 ,$71.03 ,$147.62 ,$170.66 ,$196.72 ,$30.33 ,$260.20 ,$99.04 ,$280.82 ,$123.28 ,$25.17 ,$38.37 ,$567.11 ,$163.16 ,$146.41 ,$260.55 ,$188.74 ,$129.39 
$14.91 ,$85.02 ,$57.98 ,$72.53 ,$149.18 ,$171.49 ,$193.58 ,$31.20 ,$260.65 ,$98 ,$293.69 ,$123 ,$24.39 ,$37.89 ,$581.39 ,$160.78 ,$149.12 ,$269.50 ,$197.65 ,$132.95 
$15.26 ,$84.46 ,$57.63 ,$71.54 ,$151.31 ,$171.70 ,$193 ,$31.86 ,$261.41 ,$97.20 ,$286.82 ,$121.73 ,$24.20 ,$38.04 ,$562.92 ,$159.25 ,$152.38 ,$264.58 ,$196.21 ,$133.31 
$15.81 ,$91.69 ,$61.07 ,$72.49 ,$149.56 ,$170.41 ,$202.82 ,$34.29 ,$266.90 ,$107.69 ,$295.46 ,$126.80 ,$28.15 ,$43.03 ,$580.10 ,$170.69 ,$149.53 ,$274.73 ,$203.77 ,$148.90 
$16.28 ,$90.31 ,$61.01 ,$72.80 ,$152.74 ,$170.39 ,$205.24 ,$35.55 ,$252.08 ,$102.86 ,$303.20 ,$129.56 ,$27.68 ,$42.08 ,$579.99 ,$166.26 ,$149.46 ,$277.35 ,$208.28 ,$150.47 
$16.56 ,$91.70 ,$64.24 ,$75.21 ,$154.62 ,$173.86 ,$214.52 ,$37.06 ,$255.67 ,$103.86 ,$320.51 ,$132.37 ,$27.69 ,$42.60 ,$603.66 ,$167.59 ,$154.23 ,$289.98 ,$223.41 ,$156.97 
$16.34 ,$88.19 ,$62.95 ,$73.29 ,$152.51 ,$167.99 ,$208.56 ,$36.43 ,$247.29 ,$98.93 ,$312.45 ,$126.25 ,$26.25 ,$40.15 ,$581.17 ,$162.49 ,$148.08 ,$281.78 ,$212.03 ,$153.58 
$15.46 ,$86.41 ,$62.51 ,$74 ,$151.98 ,$167.76 ,$211.53 ,$36.69 ,$246.11 ,$95.92 ,$307.03 ,$126.40 ,$24.95 ,$39.11 ,$576.35 ,$159.75 ,$145.91 ,$284.47 ,$211.13 ,$148.61 
